State,Capital,Royal_Capital
Federal Territory of Kuala Lumpur,Kuala Lumpur,-
Labuan,Labuan,-
Putrajaya,Putrajaya,-
Johor,Johor Bahru,Muar
Kedah,Alor Setar,Anak Bukit
Kelantan,Kota Bharu,Kota Bharu
Malacca,Malacca City,-
Negeri Sembilan,Seremban,Seri Menanti
Pahang,Kuantan,Pekan
Perak,Ipoh,Kuala Kangsar
Perlis,Kangar,Arau
Penang,George Town,-
Sabah,Kota Kinabalu,-
Sarawak,Kuching,-
Selangor,Shah Alam,Klang
Terengganu,Kuala Terengganu,Kuala Terengganu
